;Y;Parameters;Cancer type;Numerosità;SE;SSE;MSE;Root_MSE;RSE;MAE;Deviance
0;BMS-708163_IC_50;{'C': 9, 'gamma': 0.3, 'kernel': 'sigmoid'};skin;30;-15.976384415506974;51.96092392197192;1.7320307973990638;1.31606641071;1.17085356365968;0.897105982220688;44.378670001703874
0;BMS-708163_IC_50;{'C': 13, 'gamma': 0.1, 'kernel': 'sigmoid'};thyroid;9;-4.568377541177367;11.331407906781847;1.2590453229757608;1.12207188851;1.2284024495707735;0.9108387197642591;9.224507742345557
0;BMS-708163_IC_50;{'C': 18, 'gamma': 0.03, 'kernel': 'rbf'};bone;5;-0.7477145048188549;3.509542022517752;0.7019084045035504;0.837799740095;1.054434594857843;0.6588494874443156;3.3283638830067996
0;BMS-708163_IC_50;{'C': 1, 'gamma': 0.01, 'kernel': 'poly'};lung;96;-44.222512000004045;205.6802302102021;2.1425023980229385;1.46372893598;1.1099306732003227;1.1035539166666521;185.30907846447136
0;BMS-708163_IC_50;{'C': 13, 'gamma': 0.01, 'kernel': 'rbf'};pancreas;16;-8.1168157246948;22.956807261830527;1.434800453864408;1.19783156323;1.2175967627702087;0.7719413521925254;18.854195382057743
0;BMS-708163_IC_50;{'C': 1, 'gamma': 0.5, 'kernel': 'rbf'};aero_digestive_tract;33;-19.058927199698285;53.28189606612271;1.6146029110946276;1.27067026057;1.269222693228366;1.0695995663701499;41.979942803099505
0;BMS-708163_IC_50;{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'};kidney;11;-1.1776645050828423;10.87086565612299;0.9882605141929992;0.99411292829;1.0088893772160967;0.8870214687990257;10.77508188868018
0;BMS-708163_IC_50;{'C': 15, 'gamma': 0.05, 'kernel': 'rbf'};breast;35;-11.39718678909491;39.48968317092663;1.1282766620264753;1.06220368199;1.1032688341806696;0.8306489141255152;35.793346052644736
0;BMS-708163_IC_50;{'C': 12, 'gamma': 0.01, 'kernel': 'rbf'};nervous_system;38;-8.24840468395216;41.097297652127686;1.0815078329507286;1.03995568797;1.0475167198530237;0.8401066146034886;39.233070817135996
0;BMS-708163_IC_50;{'C': 17, 'gamma': 0.03, 'kernel': 'sigmoid'};urogenital_system;43;-11.113567739878647;49.62025926055025;1.153959517687215;1.07422507776;1.0581987879579806;0.8841932983780292;46.8912456007468
0;BMS-708163_IC_50;{'C': 8, 'gamma': 0.01, 'kernel': 'sigmoid'};blood;59;44.760289580437366;65.86584036316303;1.116370175646831;1.05658420187;2.062721242614515;0.9652993918829741;31.93152763563804
0;BMS-708163_IC_50;{'C': 12, 'gamma': 0.3, 'kernel': 'rbf'};digestive_system;49;-10.080701179827358;52.88316908284499;1.0792483486294895;1.03886878316;1.1148880212068617;0.8446787280534437;47.433614925379835
0;BMS-708163_IC_50;{'C': 13, 'gamma': 0.1, 'kernel': 'sigmoid'};soft_tissue;9;-1.5114326766515052;12.04013990800526;1.3377933231116956;1.15663015831;1.0220593638547844;0.8864022789180199;11.780274545496889
0;BMS-708163_AUC;{'C': 6, 'gamma': 0.5, 'kernel': 'sigmoid'};skin;30;1.884776204364431;0.20576375486077267;0.006858791828692422;0.0828178231342;2.3824379492203716;0.07575559581084844;0.08636688939919998
0;BMS-708163_AUC;{'C': 12, 'gamma': 0.01, 'kernel': 'linear'};thyroid;9;0.49690566634630207;0.0348293609589756;0.003869928995441733;0.0622087533667;3.4873219235248154;0.055211740705144674;0.009987423508000023
0;BMS-708163_AUC;{'C': 12, 'gamma': 0.01, 'kernel': 'linear'};bone;5;0.40298866360330243;0.03423849719204283;0.006847699438408567;0.0827508274183;26.117446632541906;0.08059773272066048;0.0013109435111999896
0;BMS-708163_AUC;{'C': 11, 'gamma': 0.01, 'kernel': 'linear'};lung;96;5.637020556105101;0.5656085220553267;0.00589175543807632;0.0767577711901;2.5780307667213056;0.07023951902064401;0.2193955670958333
0;BMS-708163_AUC;{'C': 12, 'gamma': 0.01, 'kernel': 'linear'};pancreas;16;0.7541957808902219;0.0719099331883998;0.004494370824274988;0.0670400687968;1.9131572989702486;0.05707226333822966;0.03758704693393749
0;BMS-708163_AUC;{'C': 12, 'gamma': 0.01, 'kernel': 'linear'};aero_digestive_tract;33;1.894795242656633;0.1484814480228235;0.00449943781887344;0.0670778489434;3.6120025245891108;0.05947943521476911;0.04110779187224246
0;BMS-708163_AUC;{'C': 12, 'gamma': 0.01, 'kernel': 'linear'};kidney;11;0.6954645766119876;0.05259431559949173;0.004781301418135612;0.069146955234;6.828931489011148;0.06322405241927159;0.007701690327999991
0;BMS-708163_AUC;{'C': 12, 'gamma': 0.01, 'kernel': 'linear'};breast;35;2.191671191974837;0.18093147620149447;0.005169470748614128;0.071899031625;4.171986487572665;0.06558349366558862;0.04336818365554285
0;BMS-708163_AUC;{'C': 12, 'gamma': 0.01, 'kernel': 'linear'};nervous_system;38;2.5784523232771543;0.221058127065183;0.005817319133294289;0.0762713519829;4.646513748014073;0.07169336474777328;0.04757505068389469
0;BMS-708163_AUC;{'C': 12, 'gamma': 0.01, 'kernel': 'linear'};urogenital_system;43;3.0417809291409865;0.259919241379519;0.00604463352045393;0.0777472412401;5.518982133479408;0.07413250698991582;0.04709550331804653
0;BMS-708163_AUC;{'C': 12, 'gamma': 0.01, 'kernel': 'linear'};blood;59;5.205129214748695;0.49062075528324733;0.008315606021749954;0.0911899447404;15.840413188031503;0.08886983917677263;0.030972724603796593
