;Y;Numerosità;SE;SSE;MSE;Root_MSE;RSE;RRSE;MAE;RAE;Deviance;Variance
0;BMS-708163_IC_50;433;0.4835513997089498;672.4577811758546;1.5530202798518582;1.2462023430614542;1.167781540622743;1.0806394128583054;1.0039685934197813;1.081634886989246;575.8421055510545;1.3298893892634054
1;BMS-708163_AUC;433;0.004488021689593724;0.8035266366516902;0.0018557197151309243;0.04307806535965751;1.1837143035798707;1.0879863526625095;0.032766621116011814;1.0811077483981746;0.6788180511307579;0.0015677091250132977
2;Z-LLNle-CHO_IC_50;185;5.168209148611958;761.327748921398;4.115285129304854;2.0286165555138442;1.3052228419238088;1.1424634969765155;1.6395624897171968;1.1165937901106255;583.293307830296;3.1529367990826813
3;Z-LLNle-CHO_AUC;185;0.2838060517564033;1.6404046414955074;0.008867052116191931;0.09416502597138669;1.3482604727632945;1.1611461892299757;0.072084696968365;1.1773774105713608;1.2166822914666153;0.006576661034954677
