;Y;Cancer type;Numerosità;SE;SSE;MSE;Root_MSE;RSE;MAE;Deviance
0;BMS-708163_IC_50;nervous_system;38;-14.607258205413352;202.02261618786682;5.316384636522811;2.30572865631;5.149294000703828;1.8750136214416344;39.233070817135996
0;BMS-708163_IC_50;thyroid;9;-9.685175503782467;20.72820560171321;2.303133955745912;1.51760797169;2.247079863845673;1.2768015514744802;9.224507742345557
0;BMS-708163_IC_50;skin;30;-13.768635193681188;190.5845035488105;6.35281678496035;2.52047947521;4.294506877774688;1.9621256013459532;44.378670001703874
0;BMS-708163_IC_50;soft_tissue;9;4.105927260127255;72.03034459005627;8.003371621117363;2.829023086;6.11448776612685;2.129902653900063;11.780274545496889
0;BMS-708163_IC_50;kidney;11;-4.95740980295577;22.05838950152832;2.0053081365025744;1.41608902845;2.047166762110818;1.2008911981805626;10.77508188868018
0;BMS-708163_IC_50;blood;59;41.66975654530836;426.55605422873583;7.229763630995523;2.6888219783;13.358460612847926;2.2080959472253783;31.93152763563804
0;BMS-708163_IC_50;breast;35;-6.750891606302867;209.36711657793393;5.981917616512398;2.44579590655;5.849330662464399;1.9928788366264696;35.793346052644736
0;BMS-708163_IC_50;digestive_system;49;32.86451460986027;345.2493209904089;7.045904510008344;2.65441227205;7.278579158125259;2.212183008906638;47.433614925379835
0;BMS-708163_IC_50;bone;5;-6.014015473665638;15.298453370146277;3.0596906740292553;1.74919715128;4.596388468296278;1.2129011621549657;3.3283638830067996
0;BMS-708163_IC_50;pancreas;16;0.06418648293284157;89.55349670097738;5.597093543811086;2.36581773258;4.749791485994643;1.7434832653776315;18.854195382057743
0;BMS-708163_IC_50;aero_digestive_tract;33;-27.99637696420772;173.04614180184345;5.24382247884374;2.28993940506;4.122114758790642;1.7856116896380942;41.979942803099505
0;BMS-708163_IC_50;lung;96;6.626359577489431;989.8993775084845;10.311451849046714;3.21114494364;5.341882792311626;2.5287540964835844;185.30907846447136
0;BMS-708163_IC_50;urogenital_system;43;-1.2509508787558827;270.6801860549678;6.294888047789949;2.50896154769;5.772510040779486;1.9672296813764822;46.8912456007468
0;BMS-708163_AUC;nervous_system;38;-0.3170631590270191;0.24650303865046502;0.00648692206974908;0.0805414307655;5.181351046545753;0.06720592813421916;0.04757505068389469
0;BMS-708163_AUC;thyroid;9;-0.3076092739496913;0.022394076623306187;0.0024882307359229095;0.0498821685166;2.242227598075551;0.039971877324451274;0.009987423508000023
0;BMS-708163_AUC;skin;30;-0.5300078540314953;0.22683496479761076;0.007561165493253692;0.0869549624418;2.626411190394359;0.060987478035986566;0.08636688939919998
0;BMS-708163_AUC;soft_tissue;9;0.1280975784413445;0.05177305292628016;0.005752561436253351;0.0758456421705;7.644101834502931;0.05695699324124464;0.006772941288222226
0;BMS-708163_AUC;kidney;11;-0.3521147662645776;0.03224308666694068;0.0029311896969946073;0.0541404626596;4.186494820457642;0.038657774291553364;0.007701690327999991
0;BMS-708163_AUC;blood;59;0.931477089171253;0.7530935333155139;0.012764297174839219;0.112979189123;24.314733138562847;0.09526031460246749;0.030972724603796593
0;BMS-708163_AUC;breast;35;-0.0649957903771955;0.28532269153443357;0.008152076900983816;0.0902888525843;6.579078658231211;0.07170964883956085;0.04336818365554285
0;BMS-708163_AUC;digestive_system;49;0.7091374437659541;0.5904367256282004;0.012049729094453069;0.109771258053;10.694153393346744;0.0912779579018111;0.055211170432204054
0;BMS-708163_AUC;bone;5;-0.06026265009999099;0.0048827843269865934;0.0009765568653973186;0.0312499098462;3.724633659094183;0.01912973726125875;0.0013109435111999896
0;BMS-708163_AUC;pancreas;16;-0.2070977361202484;0.14787013059289497;0.009241883162055936;0.0961347136161;3.9340715127950756;0.08329458030878768;0.03758704693393749
0;BMS-708163_AUC;aero_digestive_tract;33;-0.6959306092358163;0.32550268432019214;0.009863717706672489;0.0993162509697;7.918272169223078;0.07698556160478978;0.04110779187224246
0;BMS-708163_AUC;lung;96;0.366518854289855;1.6523579599792049;0.01721206208311672;0.131194748687;7.5314099635269525;0.09993011330823554;0.2193955670958333
0;BMS-708163_AUC;urogenital_system;43;0.21945970246461244;0.295100158673589;0.006862794387757884;0.0828419844509;6.265994370645351;0.06541577155359946;0.04709550331804653
0;Z-LLNle-CHO_IC_50;nervous_system;22;25.3649123937066;177.27288277495694;8.057858307952587;2.83863669883;2.6859554000722596;2.216728928745645;65.99993535640533
0;Z-LLNle-CHO_IC_50;thyroid;1;2.4660229461992316;6.081269171181138;6.081269171181138;2.4660229462;;2.4660229461992316;0.0
0;Z-LLNle-CHO_IC_50;skin;9;-5.8323439198633285;57.86763614083135;6.429737348981261;2.53569267637;1.001870526797079;2.053177114286191;57.75959527009021
0;Z-LLNle-CHO_IC_50;soft_tissue;3;2.4198589939873063;30.110495784224568;10.036831928074855;3.16809594679;78.3568898629979;2.6148226146247295;0.3842737484459998
0;Z-LLNle-CHO_IC_50;kidney;4;0.40136011509970837;20.601995673240207;5.150498918310052;2.26947106576;1.5518571776704468;2.222031668019573;13.275703440806753
0;Z-LLNle-CHO_IC_50;blood;63;-52.6975620321025;450.4403323117356;7.149846544630724;2.67391969674;2.4794193138217806;2.2477650808829304;181.67170425781114
0;Z-LLNle-CHO_IC_50;breast;9;-0.33369126497049884;39.26619966377301;4.3629110737525565;2.08875826121;2.2708168364792605;1.6593045729011238;17.291663084836227
0;Z-LLNle-CHO_IC_50;digestive_system;13;6.691721547536793;92.6761476727625;7.128934436366346;2.67000644875;1.9104985896672373;2.1927451501371427;48.508880443038926
