;Y;Cancer type;Numerosità;SE;SSE;Deviance;MSE;Variance;Root_MSE;RRSE;RSE;MAE
0;BMS-708163_IC_50;kidney;11;4.95740980295577;22.05838950152832;10.77508188868018;2.0053081365025744;0.9795528989709255;1.41608902845;2.047166762110818;1.43079235465;1.2008911981805626
0;BMS-708163_IC_50;aero_digestive_tract;33;27.99637696420772;173.04614180184345;41.979942803099505;5.24382247884374;1.272119478881803;2.28993940506;4.122114758790642;2.03029917963;1.7856116896380942
0;BMS-708163_IC_50;pancreas;16;-0.06418648293284157;89.55349670097738;18.854195382057743;5.597093543811086;1.178387211378609;2.36581773258;4.749791485994643;2.17940163485;1.7434832653776315
0;BMS-708163_IC_50;breast;35;6.750891606302867;209.36711657793393;35.793346052644736;5.981917616512398;1.0226670300755638;2.44579590655;5.849330662464399;2.41853895203;1.9928788366264696
0;BMS-708163_IC_50;bone;5;6.014015473665638;15.298453370146277;3.3283638830067996;3.0596906740292553;0.6656727766013599;1.74919715128;4.596388468296278;2.14391895096;1.2129011621549657
0;BMS-708163_IC_50;thyroid;9;9.685175503782467;20.72820560171321;9.224507742345557;2.303133955745912;1.0249453047050618;1.51760797169;2.247079863845673;1.49902630525;1.2768015514744802
0;BMS-708163_IC_50;skin;30;13.768635193681188;190.5845035488105;44.378670001703874;6.35281678496035;1.4792890000567958;2.52047947521;4.294506877774688;2.07231920267;1.9621256013459532
0;BMS-708163_IC_50;blood;59;-41.66975654530836;426.55605422873583;31.93152763563804;7.229763630995523;0.5412123328074244;2.6888219783;13.358460612847926;3.65492279164;2.2080959472253783
0;BMS-708163_IC_50;nervous_system;38;14.607258205413352;202.02261618786682;39.233070817135996;5.316384636522811;1.0324492320298946;2.30572865631;5.149294000703828;2.26920558802;1.8750136214416344
0;BMS-708163_IC_50;digestive_system;49;-32.86451460986027;345.2493209904089;47.433614925379835;7.045904510008344;0.968032957660813;2.65441227205;7.278579158125259;2.69788420028;2.212183008906638
0;BMS-708163_IC_50;lung;96;-6.626359577489431;989.8993775084845;185.30907846447136;10.311451849046714;1.9303029006715766;3.21114494364;5.341882792311626;2.31125134771;2.5287540964835844
0;BMS-708163_IC_50;urogenital_system;43;1.2509508787558827;270.6801860549678;46.8912456007468;6.294888047789949;1.0904940837382977;2.50896154769;5.772510040779486;2.40260484491;1.9672296813764822
0;BMS-708163_IC_50;soft_tissue;9;-4.105927260127255;72.03034459005627;11.780274545496889;8.003371621117363;1.3089193939440988;2.829023086;6.11448776612685;2.47274903015;2.129902653900063
0;BMS-708163_AUC;kidney;11;0.3521147662645776;0.03224308666694068;0.007701690327999991;0.0029311896969946073;0.0007001536661818173;0.0541404626596;4.186494820457642;2.04609257378;0.038657774291553364
0;BMS-708163_AUC;aero_digestive_tract;33;0.6959306092358163;0.32550268432019214;0.04110779187224246;0.009863717706672489;0.001245690662795226;0.0993162509697;7.918272169223078;2.81394246018;0.07698556160478978
0;BMS-708163_AUC;pancreas;16;0.2070977361202484;0.14787013059289497;0.03758704693393749;0.009241883162055936;0.002349190433371093;0.0961347136161;3.9340715127950756;1.98344939759;0.08329458030878768
0;BMS-708163_AUC;breast;35;0.0649957903771955;0.28532269153443357;0.04336818365554285;0.008152076900983816;0.0012390909615869385;0.0902888525843;6.579078658231211;2.56497147318;0.07170964883956085
0;BMS-708163_AUC;bone;5;0.06026265009999099;0.0048827843269865934;0.0013109435111999896;0.0009765568653973186;0.0002621887022399979;0.0312499098462;3.724633659094183;1.92993099853;0.01912973726125875
0;BMS-708163_AUC;thyroid;9;0.3076092739496913;0.022394076623306187;0.009987423508000023;0.0024882307359229095;0.0011097137231111135;0.0498821685166;2.242227598075551;1.49740695807;0.039971877324451274
0;BMS-708163_AUC;skin;30;0.5300078540314953;0.22683496479761076;0.08636688939919998;0.007561165493253692;0.002878896313306666;0.0869549624418;2.626411190394359;1.6206206189;0.060987478035986566
0;BMS-708163_AUC;blood;59;-0.931477089171253;0.7530935333155139;0.030972724603796593;0.012764297174839219;0.0005249614339626541;0.112979189123;24.314733138562847;4.93099717487;0.09526031460246749
0;BMS-708163_AUC;nervous_system;38;0.3170631590270191;0.24650303865046502;0.04757505068389469;0.00648692206974908;0.0012519750179972287;0.0805414307655;5.181351046545753;2.27625812388;0.06720592813421916
0;BMS-708163_AUC;digestive_system;49;-0.7091374437659541;0.5904367256282004;0.055211170432204054;0.012049729094453069;0.0011267585802490624;0.109771258053;10.694153393346744;3.27019164474;0.0912779579018111
0;BMS-708163_AUC;lung;96;-0.366518854289855;1.6523579599792049;0.2193955670958333;0.01721206208311672;0.0022853704905815967;0.131194748687;7.5314099635269525;2.74434144441;0.09993011330823554
0;BMS-708163_AUC;urogenital_system;43;-0.21945970246461244;0.295100158673589;0.04709550331804653;0.006862794387757884;0.0010952442632103845;0.0828419844509;6.265994370645351;2.50319683018;0.06541577155359946
0;BMS-708163_AUC;soft_tissue;9;-0.1280975784413445;0.05177305292628016;0.006772941288222226;0.005752561436253351;0.0007525490320246917;0.0758456421705;7.644101834502931;2.76479688847;0.05695699324124464
0;Z-LLNle-CHO_IC_50;kidney;4;-0.40136011509970837;20.601995673240207;13.275703440806753;5.150498918310052;3.3189258602016882;2.26947106576;1.5518571776704468;1.24573559702;2.222031668019573
0;Z-LLNle-CHO_IC_50;aero_digestive_tract;11;-6.443816738367661;118.92908450128387;27.470551001386;10.81173495466217;2.497322818307818;3.28812027679;4.329330143224409;2.08070424213;2.6585817436454606
