;Y;Cancer type;Numerosità;SE;SSE;Deviance;MSE;Variance;Root_MSE;RRSE;RSE;MAE;0;1;2;3;4;5;6;7;8;9;10;11
0;;;;;;;;;;;;;BMS-708163_IC_50;kidney;11;1.1776995773014223;10.870940934257705;10.77508188868018;0.9882673576597913;0.9795528989709255;0.994116370281;1.0088963635328128;1.00443833237;0.8870254403191248
0;;;;;;;;;;;;;BMS-708163_IC_50;aero_digestive_tract;33;19.05863549146521;53.28384833588345;41.979942803099505;1.6146620707843469;1.272119478881803;1.27069353929;1.2692691980502018;1.12661847937;1.0696195142602603
0;;;;;;;;;;;;;BMS-708163_IC_50;pancreas;16;8.1168157246948;22.956807261830527;18.854195382057743;1.434800453864408;1.178387211378609;1.19783156323;1.2175967627702087;1.10344767106;0.7719413521925254
0;;;;;;;;;;;;;BMS-708163_IC_50;breast;35;11.396647244821569;39.48935606825461;35.793346052644736;1.1282673162358459;1.0226670300755638;1.06219928273;1.1032596955359746;1.05036169748;0.8306473653219782
0;;;;;;;;;;;;;BMS-708163_IC_50;bone;5;0.7519648566091477;3.5125488806690806;3.3283638830067996;0.7025097761338162;0.6656727766013599;0.838158562644;1.0553379991300382;1.02729645143;0.6590897819114425
0;;;;;;;;;;;;;BMS-708163_IC_50;thyroid;9;4.568377541177367;11.331407906781847;9.224507742345557;1.2590453229757608;1.0249453047050618;1.12207188851;1.2284024495707735;1.10833318527;0.9108387197642591
0;;;;;;;;;;;;;BMS-708163_IC_50;skin;30;15.998726721783118;51.95560678087913;44.378670001703874;1.7318535593626376;1.4792890000567958;1.31599907271;1.1707337506708593;1.08200450585;0.8970695877310408
0;;;;;;;;;;;;;BMS-708163_IC_50;blood;59;-44.76023995753952;65.86578383478746;31.93152763563804;1.1163692175387705;0.5412123328074244;1.05658374847;2.0627194723147597;1.43621707005;0.9652988901396686
0;;;;;;;;;;;;;BMS-708163_IC_50;nervous_system;38;8.24839917823866;41.09725088121897;39.233070817135996;1.0815066021373412;1.0324492320298946;1.03995509621;1.0475155277233295;1.02348206028;0.8401058105181946
0;;;;;;;;;;;;;BMS-708163_IC_50;digestive_system;49;10.084118991656123;52.822110106276256;47.433614925379835;1.0780022470668624;0.968032957660813;1.03826887032;1.1136007700314077;1.05527284151;0.8443520910286761
0;;;;;;;;;;;;;BMS-708163_IC_50;lung;96;44.222512000004045;205.6802302102021;185.30907846447136;2.1425023980229385;1.9303029006715766;1.46372893598;1.1099306732003227;1.05353247373;1.1035539166666521
0;;;;;;;;;;;;;BMS-708163_IC_50;urogenital_system;43;11.113567739878647;49.62025926055025;46.8912456007468;1.153959517687215;1.0904940837382977;1.07422507776;1.0581987879579806;1.02868789628;0.8841932983780292
0;;;;;;;;;;;;;BMS-708163_IC_50;soft_tissue;9;1.5114326766515052;12.04013990800526;11.780274545496889;1.3377933231116956;1.3089193939440988;1.15663015831;1.0220593638547844;1.01096951678;0.8864022789180199
0;;;;;;;;;;;;;BMS-708163_AUC;kidney;11;-0.6940819624493929;0.05245913297180661;0.007701690327999991;0.004769012088346056;0.0007001536661818173;0.0690580342056;6.811379156740185;2.60986190377;0.06309836022267208
0;;;;;;;;;;;;;BMS-708163_AUC;aero_digestive_tract;33;-1.890722250547366;0.14802003069963893;0.04110779187224246;0.004485455475746634;0.001245690662795226;0.0669735431028;3.6007779537189797;1.89757159383;0.05939598207271273
0;;;;;;;;;;;;;BMS-708163_AUC;pancreas;16;-0.7527176677603232;0.07181377217114288;0.03758704693393749;0.00448836076069643;0.002349190433371093;0.0669952293876;1.9105989437627766;1.38224416937;0.05701197160632803
0;;;;;;;;;;;;;BMS-708163_AUC;breast;35;-2.1901985347118993;0.18075518936727852;0.04336818365554285;0.0051644339819222436;0.0012390909615869385;0.0718639964233;4.167921598998679;2.04154882356;0.06555676746861538
0;;;;;;;;;;;;;BMS-708163_AUC;bone;5;-0.4040841717150365;0.03435208935314339;0.0013109435111999896;0.006870417870628679;0.0002621887022399979;0.0828879838736;26.204095797917905;5.11899363136;0.08081683434300731
0;;;;;;;;;;;;;BMS-708163_AUC;thyroid;9;-0.49567556903027954;0.034656579461841995;0.009987423508000023;0.003850731051315777;0.0011097137231111135;0.0620542589297;3.4700220165973477;1.86279951057;0.05507506322558661
0;;;;;;;;;;;;;BMS-708163_AUC;skin;30;-1.8847751881795105;0.20576363778032156;0.08636688939919998;0.0068587879260107185;0.002878896313306666;0.0828177995724;2.3824365936030523;1.54351436456;0.07575556829459382
0;;;;;;;;;;;;;BMS-708163_AUC;blood;59;-5.214021083401797;0.4920317025155305;0.030972724603796593;0.008339520381619161;0.0005249614339626541;0.091320974489;15.885967696081151;3.9857204739;0.0890254959098115
