"";"Y";"n_var";"MSE";"VAR";"RSE";"R2";"Numerosità"
"1";"BMS.708163_AUC";"2";"0.00158748679226439";"0.0015713380813212";"1.01027704421802";"-0.0102770442180169";"433"
"2";"BMS.708163_AUC";"10";"0.00160767002372583";"0.0015713380813212";"1.02312165843654";"-0.0231216584365377";"433"
"3";"BMS.708163_AUC";"20";"0.00172591880730274";"0.0015713380813212";"1.09837521779627";"-0.0983752177962665";"433"
"4";"BMS.708163_AUC";"40";"0.00159312465721939";"0.0015713380813212";"1.01386498307218";"-0.0138649830721842";"433"
"5";"BMS.708163_AUC";"70";"0.00156398536220252";"0.0015713380813212";"0.995320727470379";"0.00467927252962064";"433"
"6";"BMS.708163_AUC";"100";"0.00174728076875244";"0.0015713380813212";"1.11196997611317";"-0.111969976113168";"433"
"7";"BMS.708163_AUC";"200";"0.00177092489839512";"0.0015713380813212";"1.12701710691445";"-0.127017106914451";"433"
"8";"BMS.708163_AUC";"300";"0.00193046749267449";"0.0015713380813212";"1.22855005910079";"-0.228550059100795";"433"
"9";"BMS.708163_IC_50";"2";"1.42029456272086";"1.33296783692374";"1.06551300292336";"-0.0655130029233557";"433"
"10";"BMS.708163_IC_50";"10";"1.43092200817398";"1.33296783692374";"1.07348577252719";"-0.0734857725271933";"433"
"11";"BMS.708163_IC_50";"20";"1.30143618698354";"1.33296783692374";"0.976344778120852";"0.0236552218791485";"433"
"12";"BMS.708163_IC_50";"40";"1.29669575937575";"1.33296783692374";"0.972788482555063";"0.0272115174449374";"433"
"13";"BMS.708163_IC_50";"70";"1.29209592786335";"1.33296783692374";"0.969337662974144";"0.0306623370258557";"433"
"14";"BMS.708163_IC_50";"100";"1.35322179523694";"1.33296783692374";"1.01519463392301";"-0.0151946339230111";"433"
"15";"BMS.708163_IC_50";"200";"1.46686313533076";"1.33296783692374";"1.1004490091194";"-0.100449009119404";"433"
"16";"BMS.708163_IC_50";"300";"1.53151322325726";"1.33296783692374";"1.14894987023223";"-0.148949870232226";"433"
"17";"Z.LLNle.CHO_AUC";"2";"0.00349727681347011";"0.00661240375797074";"0.528896440912945";"0.471103559087055";"185"
"18";"Z.LLNle.CHO_AUC";"10";"0.00300039289001547";"0.00661240375797074";"0.453752220801509";"0.546247779198491";"185"
"19";"Z.LLNle.CHO_AUC";"20";"0.00334186185331003";"0.00661240375797074";"0.505392891243471";"0.494607108756529";"185"
"20";"Z.LLNle.CHO_AUC";"40";"0.00311408692746693";"0.00661240375797074";"0.47094627633909";"0.52905372366091";"185"
"21";"Z.LLNle.CHO_AUC";"70";"0.00318322600618736";"0.00661240375797074";"0.481402243828536";"0.518597756171464";"185"
"22";"Z.LLNle.CHO_AUC";"100";"0.00286075492624941";"0.00661240375797074";"0.432634641041239";"0.567365358958761";"185"
"23";"Z.LLNle.CHO_AUC";"200";"0.00315048081258303";"0.00661240375797074";"0.476450157597435";"0.523549842402565";"185"
"24";"Z.LLNle.CHO_AUC";"300";"0.00321866726495173";"0.00661240375797074";"0.486762058513422";"0.513237941486578";"185"
"25";"Z.LLNle.CHO_IC_50";"2";"1.65054839041415";"3.17007232516465";"0.520665846426209";"0.479334153573791";"185"
"26";"Z.LLNle.CHO_IC_50";"10";"1.51606027622056";"3.17007232516465";"0.478241541742052";"0.521758458257948";"185"
"27";"Z.LLNle.CHO_IC_50";"20";"1.42839584439521";"3.17007232516465";"0.450587777779177";"0.549412222220823";"185"
"28";"Z.LLNle.CHO_IC_50";"40";"1.47423281832071";"3.17007232516465";"0.465047061108973";"0.534952938891027";"185"
"29";"Z.LLNle.CHO_IC_50";"70";"1.66243980393767";"3.17007232516465";"0.524416995391838";"0.475583004608162";"185"
"30";"Z.LLNle.CHO_IC_50";"100";"1.79148837589651";"3.17007232516465";"0.5651253953026";"0.4348746046974";"185"
"31";"Z.LLNle.CHO_IC_50";"200";"1.82136048346238";"3.17007232516465";"0.574548558089375";"0.425451441910625";"185"
"32";"Z.LLNle.CHO_IC_50";"300";"1.50801034555538";"3.17007232516465";"0.475702189374199";"0.5242978106258";"185"
